UNIQUE_ID,PERSON_AGE,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_SEX,PERSON_TYPE,PED_LOCATION,CONTRIBUTING_FACTOR_2,EJECTION,COMPLAINT,EMOTIONAL_STATUS,CONTRIBUTING_FACTOR_1,POSITION_IN_VEHICLE,PED_ROLE,PED_ACTION,PERSON_INJURY
11864601,67.0,10.0,0.0,0,1.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11795417,22.0,10.0,8.0,0,2.0,1.0,0.0,10.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11863936,20.0,9.0,-10.0,1,2.0,1.0,0.0,10.0,30.0,10.0,0.0,8.0,3.0,-1.0,Killed
11865912,54.0,10.0,-10.0,0,3.0,4.0,10.0,0.0,30.0,10.0,10.0,-10.0,4.0,10.0,Killed
11866026,42.0,10.0,8.0,0,2.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11945328,24.0,10.0,0.0,0,1.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11947347,67.0,9.0,-10.0,1,3.0,4.0,10.0,0.0,50.0,10.0,27.0,-10.0,4.0,5.0,Killed
11896086,46.0,4.0,-10.0,0,3.0,4.0,10.0,0.0,50.0,10.0,10.0,-10.0,4.0,3.0,Killed
12011195,52.0,9.0,10.0,0,2.0,1.0,0.0,3.0,20.0,8.0,0.0,10.0,5.0,-1.0,Killed
11886021,39.0,10.0,10.0,0,2.0,1.0,0.0,5.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11870597,33.0,10.0,-10.0,1,2.0,1.0,0.0,5.0,50.0,10.0,0.0,10.0,5.0,-1.0,Killed
11873446,85.0,9.0,-10.0,1,3.0,4.0,10.0,0.0,50.0,10.0,27.0,-10.0,4.0,9.0,Killed
12020159,70.0,10.0,-10.0,1,3.0,4.0,10.0,0.0,30.0,8.0,10.0,-10.0,4.0,3.0,Killed
12019058,29.0,9.0,-10.0,0,3.0,5.0,10.0,0.0,30.0,10.0,10.0,-10.0,4.0,5.0,Killed
11877586,34.0,10.0,10.0,0,2.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11882008,32.0,10.0,0.0,0,2.0,1.0,0.0,3.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11881593,27.0,10.0,0.0,0,4.0,1.0,0.0,10.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11883230,41.0,10.0,0.0,0,2.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11892377,10.0,10.0,9.0,1,2.0,1.0,0.0,3.0,50.0,10.0,0.0,8.0,3.0,-1.0,Killed
11892379,31.0,9.0,9.0,1,2.0,1.0,0.0,3.0,50.0,10.0,0.0,10.0,5.0,-1.0,Killed
11889174,29.0,6.0,-10.0,0,2.0,1.0,0.0,3.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11893918,52.0,10.0,-10.0,0,3.0,4.0,10.0,0.0,30.0,10.0,27.0,-10.0,4.0,5.0,Killed
