,CRASH_DATE,CRASH_TIME,PERSON_AGE,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_SEX,PERSON_TYPE,PED_LOCATION,CONTRIBUTING_FACTOR_2,EJECTION,COMPLAINT,EMOTIONAL_STATUS,CONTRIBUTING_FACTOR_1,POSITION_IN_VEHICLE,PERSON_INJURY
240,1,2,45.0,3,1,0,1,1,1,1,0,0,1,1,0
241,1,2,56.0,3,1,1,1,1,1,1,0,0,1,1,0
242,1,2,34.0,4,5,1,0,0,0,0,0,0,0,7,0
243,1,2,51.0,3,1,0,1,1,1,1,9,3,1,1,0
244,1,2,32.0,7,5,1,0,0,0,0,2,0,0,3,0
245,1,2,40.0,7,0,0,0,0,0,0,0,0,0,0,0
246,1,2,19.0,0,4,1,0,0,0,0,0,0,0,5,0
247,1,2,60.0,11,4,1,0,0,0,0,9,0,0,0,0
248,1,2,46.0,4,1,1,1,1,1,1,0,0,1,1,0
249,1,3,18.0,6,4,0,0,0,0,0,0,0,0,4,0
250,1,3,23.0,3,1,1,1,1,1,1,0,0,6,1,0
251,1,3,59.0,4,0,0,0,0,0,0,2,0,0,0,0
252,1,3,52.0,4,1,1,1,1,1,1,0,0,1,1,0
253,1,3,20.0,4,1,1,1,3,1,1,0,0,1,1,0
254,1,3,9.0,5,6,1,0,0,0,0,2,0,0,5,0
255,1,3,63.0,5,1,1,1,1,1,1,2,0,1,1,0
256,1,3,49.0,0,0,0,0,0,0,0,9,0,0,0,0
257,1,3,45.0,5,1,0,1,3,1,1,11,0,6,1,0
258,1,3,21.0,5,6,0,0,0,0,0,9,0,0,0,0
259,1,3,19.0,10,1,0,1,1,1,1,2,0,1,1,0
260,1,3,25.0,4,4,0,0,0,0,0,0,0,0,0,0
261,1,3,59.0,1,1,0,1,3,1,1,0,0,1,1,0
262,1,3,31.0,0,6,1,0,0,0,0,0,0,0,0,0
263,1,3,72.0,5,1,1,1,3,1,1,3,0,1,1,0
264,1,3,27.0,4,1,0,1,1,1,1,0,0,1,1,0
265,1,3,30.0,2,5,0,2,0,0,0,0,0,0,0,0
266,1,3,25.0,5,1,1,1,1,1,1,3,0,1,1,0
267,1,3,33.0,7,1,1,1,2,1,1,0,0,1,1,0
268,1,3,29.0,1,1,0,1,1,1,1,0,0,1,1,0
269,1,3,63.0,7,1,0,1,1,1,1,0,0,1,1,0
270,1,3,41.0,4,1,1,1,1,1,1,3,0,1,1,0
271,1,3,17.0,3,1,1,1,1,1,1,0,0,1,1,0
272,1,3,31.0,1,0,1,0,0,0,0,2,0,0,3,0
273,1,3,92.0,9,4,0,0,0,0,0,1,0,0,0,0
274,1,3,33.0,4,0,0,0,0,0,0,2,0,0,0,0
275,1,3,24.0,4,5,0,2,0,0,3,7,0,0,9,0
276,1,3,19.0,5,5,0,2,0,0,3,1,0,0,0,0
277,1,4,53.0,6,4,1,0,0,0,0,0,0,0,2,0
278,1,4,10.0,3,1,1,1,1,1,1,0,0,1,1,0
279,1,4,21.0,6,5,0,0,0,0,0,0,4,0,4,0
280,1,4,22.0,7,1,1,1,1,1,1,0,0,1,1,0
281,1,4,70.0,5,1,1,1,1,1,1,11,0,1,1,0
282,1,4,20.0,4,4,1,0,0,0,0,0,0,0,0,0
283,1,4,35.0,4,1,1,1,3,1,1,0,0,3,1,0
284,1,4,23.0,4,4,0,0,0,0,0,2,0,0,0,0
285,1,4,39.0,0,4,1,0,0,0,0,2,0,0,2,0
286,1,4,22.0,2,6,0,0,0,0,0,0,0,0,2,0
287,1,4,30.0,2,6,0,0,0,0,0,0,0,0,0,0
288,1,4,18.0,5,5,0,2,0,0,0,0,0,0,0,0
289,1,4,51.0,7,1,1,1,1,1,1,0,0,1,1,0
290,1,4,11.0,4,1,1,1,1,1,1,6,0,7,1,0
291,1,5,33.0,6,4,1,0,0,0,0,0,0,0,0,0
292,1,5,29.0,6,4,1,0,0,0,0,0,5,0,0,0
293,1,5,32.0,2,4,0,0,0,0,0,0,0,0,2,0
294,1,5,76.0,5,6,1,0,0,0,0,2,0,0,0,0
295,1,5,50.0,7,0,0,0,0,0,0,0,0,0,0,0
296,1,5,28.0,6,0,1,0,0,0,0,0,0,0,0,0
297,1,5,39.0,5,0,0,0,0,0,0,0,0,0,2,0
298,1,5,47.0,1,0,0,0,0,0,0,0,0,0,0,0
299,1,5,31.0,6,0,0,0,0,0,0,0,0,0,2,0
300,1,5,20.0,4,0,0,0,0,0,0,0,0,0,0,0
301,1,5,21.0,0,0,0,0,0,0,0,10,2,0,0,0
302,1,5,41.0,6,0,0,0,0,0,0,0,0,0,0,0
303,1,5,39.0,5,5,0,0,0,0,0,3,0,0,0,0
304,2,0,23.0,7,3,1,0,0,0,0,0,0,0,0,0
305,2,0,37.0,5,0,1,0,0,0,0,3,0,0,0,0
306,2,0,28.0,2,0,1,0,0,0,0,0,0,0,0,0
307,2,0,31.0,4,0,0,0,0,0,0,0,0,0,2,0
308,2,0,26.0,4,1,0,1,1,1,1,3,0,1,1,0
309,2,0,28.0,5,0,0,0,0,0,0,0,0,0,0,0
