UNIQUE_ID,PERSON_AGE,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_TYPE,PED_LOCATION,EJECTION,COMPLAINT,EMOTIONAL_STATUS,PED_ROLE,PERSON_SEX,PERSON_INJURY
11545970,-0.40964443587286814,8.0,-10.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11545962,-0.7111872736028447,5.0,-10.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11545969,1.6408468606909727,10.0,-10.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11545971,-0.7714958411488401,3.0,-10.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11545967,-0.3493358683268728,7.0,-10.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11545966,0.0125155369490991,8.0,-10.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11541917,0.19344123958708506,7.0,-10.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11541923,-2.098284327160737,7.0,-10.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11541919,-1.8570500569767556,10.0,-10.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11541921,0.13313267204108972,5.0,-10.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11541922,-2.1585928947067323,10.0,-10.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11541924,-0.16841016568888684,7.0,-10.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11541918,-0.7714958411488401,10.0,-10.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11540213,-0.7111872736028447,9.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11540214,-1.0127301113328213,9.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,0,Injured
11540215,-0.952421543786826,9.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11539946,-0.40964443587286814,7.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11543757,-0.952421543786826,9.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11540333,-0.10810159814289154,10.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11542944,-0.10810159814289154,5.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11542945,-0.40964443587286814,3.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11559486,-0.952421543786826,3.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,0,Injured
11540309,-0.4699530034188634,3.0,-10.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11540193,-0.952421543786826,3.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,1,Injured
11540273,0.4949840773170616,3.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,0,Injured
11539922,1.15837832032301,3.0,0.0,3.0,5.0,3.0,20.0,3.0,4.0,1,Injured
11539701,-0.16841016568888684,3.0,0.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11540383,0.8568354825930335,3.0,-10.0,3.0,5.0,0.0,30.0,5.0,4.0,0,Injured
11541314,-0.28902730078087746,7.0,0.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11541140,0.19344123958708506,7.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11540325,-1.0730386788788167,8.0,-10.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11540450,1.3996125905069914,1.0,-10.0,2.0,1.0,3.0,30.0,3.0,5.0,1,Injured
11539880,0.555292644863057,3.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,1,Injured
11555019,-1.133347246424812,9.0,-10.0,2.0,5.0,3.0,20.0,3.0,1.0,0,Injured
11540343,-0.8318044086948353,3.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,1,Injured
11541930,1.339304022960996,3.0,9.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
11558176,0.9171440501390289,3.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,1,Injured
11541205,-1.0127301113328213,3.0,-10.0,3.0,4.0,0.0,20.0,3.0,4.0,1,Injured
11541148,-1.6761243543387698,10.0,9.0,2.0,1.0,3.0,20.0,3.0,3.0,1,Injured
11540136,1.5805382931449774,10.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,1,Injured
11540151,0.7362183475010429,8.0,9.0,2.0,1.0,3.0,30.0,3.0,5.0,0,Injured
11541517,0.4949840773170616,10.0,-10.0,3.0,4.0,0.0,20.0,3.0,4.0,0,Injured
11541146,-0.952421543786826,10.0,9.0,2.0,1.0,3.0,30.0,3.0,5.0,0,Injured
11542155,-1.0730386788788167,4.0,-10.0,3.0,5.0,0.0,20.0,3.0,4.0,0,Injured
11539936,-0.7111872736028447,3.0,-10.0,2.0,1.0,3.0,20.0,3.0,5.0,0,Injured
