UNIQUE_ID,CRASH_DATE,CRASH_TIME,PERSON_AGE,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_SEX,PERSON_TYPE,PED_LOCATION,CONTRIBUTING_FACTOR_2,EJECTION,COMPLAINT,EMOTIONAL_STATUS,CONTRIBUTING_FACTOR_1,POSITION_IN_VEHICLE,PED_ROLE,PED_ACTION,PERSON_INJURY
11540103,02/01/2021,MORNING,53.0,3.0,-10.0,F,3,4,10.0,0,20.0,3.0,10.0,-10.0,4,9.0,Injured
11539438,02/01/2021,MORNING,14.0,3.0,7.0,M,1,3,0.0,10,20.0,3.0,0.0,10.0,5,-1.0,Injured
11540142,02/01/2021,MORNING,5.0,3.0,-10.0,M,3,3,10.0,0,20.0,3.0,10.0,-10.0,4,3.0,Injured
11540757,02/01/2021,MORNING,31.0,10.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11568515,02/01/2021,LUNCH TIME,60.0,5.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11568512,02/01/2021,LUNCH TIME,56.0,7.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539859,02/01/2021,LUNCH TIME,33.0,3.0,8.0,M,2,3,0.0,10,20.0,3.0,0.0,10.0,5,-1.0,Injured
11610692,02/01/2021,LUNCH TIME,29.0,8.0,9.0,F,2,3,0.0,7,30.0,3.0,0.0,10.0,5,-1.0,Injured
11540020,02/01/2021,LUNCH TIME,24.0,3.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11540887,02/01/2021,LUNCH TIME,18.0,5.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539916,02/01/2021,LUNCH TIME,64.0,7.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11540196,02/01/2021,LUNCH TIME,55.0,8.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11540917,02/01/2021,LUNCH TIME,59.0,7.0,-10.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11546016,02/01/2021,AFTERNOON,22.0,8.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11546013,02/01/2021,AFTERNOON,25.0,3.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11544735,02/01/2021,AFTERNOON,20.0,8.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11546015,02/01/2021,AFTERNOON,23.0,3.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539487,02/01/2021,AFTERNOON,17.0,7.0,-10.0,F,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,4.0,Injured
11539329,02/01/2021,AFTERNOON,68.0,8.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11541905,02/01/2021,AFTERNOON,67.0,9.0,8.0,F,2,3,0.0,7,20.0,3.0,0.0,6.0,3,-1.0,Injured
11541997,02/01/2021,AFTERNOON,29.0,3.0,-10.0,F,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,4.0,Injured
11541903,02/01/2021,AFTERNOON,68.0,3.0,8.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539807,02/01/2021,AFTERNOON,55.0,3.0,7.0,M,1,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11581398,02/01/2021,AFTERNOON,23.0,10.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11581404,02/01/2021,AFTERNOON,25.0,3.0,0.0,M,2,3,0.0,10,50.0,7.0,0.0,10.0,5,-1.0,Injured
11545289,02/01/2021,AFTERNOON,56.0,10.0,0.0,M,1,3,0.0,10,20.0,3.0,0.0,10.0,5,-1.0,Injured
11540127,02/01/2021,AFTERNOON,22.0,3.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539875,02/01/2021,AFTERNOON,22.0,5.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539387,02/01/2021,AFTERNOON,67.0,10.0,-10.0,M,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,4.0,Injured
11539869,02/01/2021,AFTERNOON,41.0,5.0,10.0,F,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11541132,02/01/2021,AFTERNOON,33.0,10.0,0.0,M,1,3,0.0,8,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539824,02/01/2021,AFTERNOON,55.0,6.0,0.0,M,1,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539873,02/01/2021,AFTERNOON,23.0,6.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11744565,02/01/2021,AFTERNOON,63.0,5.0,-10.0,F,3,5,10.0,0,20.0,3.0,10.0,-10.0,4,4.0,Injured
11540010,02/01/2021,AFTERNOON,48.0,5.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11539889,02/01/2021,AFTERNOON,63.0,10.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539269,02/01/2021,AFTERNOON,31.0,8.0,10.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539892,02/01/2021,AFTERNOON,47.0,3.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,6.0,3,-1.0,Injured
11539756,02/01/2021,AFTERNOON,59.0,7.0,-10.0,M,3,4,10.0,0,20.0,3.0,10.0,-10.0,4,9.0,Injured
11540007,02/01/2021,AFTERNOON,32.0,6.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11540358,02/01/2021,AFTERNOON,24.0,3.0,0.0,M,1,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539265,02/01/2021,AFTERNOON,49.0,8.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539757,02/01/2021,AFTERNOON,51.0,3.0,-10.0,F,3,4,10.0,0,20.0,3.0,10.0,-10.0,4,9.0,Injured
11539893,02/01/2021,AFTERNOON,69.0,10.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11540006,02/01/2021,AFTERNOON,56.0,6.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11550391,02/01/2021,AFTERNOON,22.0,9.0,-10.0,F,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11550386,02/01/2021,AFTERNOON,27.0,9.0,-10.0,F,3,4,19.0,0,20.0,3.0,19.0,-10.0,4,-1.0,Injured
11550393,02/01/2021,AFTERNOON,24.0,9.0,-10.0,F,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11540302,02/01/2021,AFTERNOON,68.0,7.0,9.0,M,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539515,02/01/2021,AFTERNOON,6.0,10.0,6.0,F,2,3,0.0,7,20.0,3.0,0.0,8.0,3,-1.0,Injured
11539425,02/01/2021,AFTERNOON,25.0,10.0,9.0,F,2,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11541726,02/01/2021,AFTERNOON,35.0,5.0,7.0,M,1,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11539359,02/01/2021,DINNER TIME,36.0,3.0,0.0,M,1,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11540158,02/01/2021,DINNER TIME,51.0,4.0,7.0,M,1,3,0.0,7,20.0,3.0,0.0,10.0,5,-1.0,Injured
11541295,02/01/2021,DINNER TIME,52.0,3.0,-10.0,M,3,4,10.0,0,30.0,3.0,10.0,-10.0,4,8.0,Injured
11541226,02/01/2021,DINNER TIME,27.0,5.0,0.0,M,1,3,0.0,8,20.0,3.0,0.0,10.0,5,-1.0,Injured
11540120,02/01/2021,DINNER TIME,60.0,3.0,-10.0,F,3,5,10.0,0,30.0,3.0,10.0,-10.0,4,0.0,Injured
